"Concept","Requested Consortia/Study","Concept Box ID"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","AABCG","2033131756361"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","CIMBA","2033131756361"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","LAGENO","2033131756361"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","BCAC","2033131756361"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","C-NCI","2033131756361"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","AABCG","1960512755896"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","CIMBA","1960512755896"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","BCAC","1960512755896"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","C-NCI","1960512755896"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","AABCG","1997152929579"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","CIMBA","1997152929579"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","LAGENO","1997152929579"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","BCAC","1997152929579"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","C-NCI","1997152929579"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","AABCG","2033406638026"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","CIMBA","2033406638026"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","LAGENO","2033406638026"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","BCAC","2033406638026"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","C-NCI","2033406638026"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","MERGE","2033406638026"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","AABCG","2029694886411"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","CIMBA","2029694886411"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","LAGENO","2029694886411"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","BCAC","2029694886411"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","C-NCI","2029694886411"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","MERGE","2029694886411"
"Decoding Genetic Risk Pathways in Breast Cancer through Multi-Scale Genomic Modelling with Transformers_2025-09-02.docx","AABCG","1972884599012"
"Decoding Genetic Risk Pathways in Breast Cancer through Multi-Scale Genomic Modelling with Transformers_2025-09-02.docx","CIMBA","1972884599012"
"Decoding Genetic Risk Pathways in Breast Cancer through Multi-Scale Genomic Modelling with Transformers_2025-09-02.docx","LAGENO","1972884599012"
